date,machine,tool,spindle
2019-12-30 13:29:55,OP20-2,11,20
2019-12-30 13:29:56,OP20-2,11,19
2019-12-30 13:29:58,OP20-2,11,31654
2019-12-30 13:29:59,OP20-2,11,32762
2019-12-30 13:30:00,OP20-2,11,3611
2019-12-30 13:30:01,OP20-2,11,1451
2019-12-30 13:30:03,OP20-2,11,1511
2019-12-30 13:30:04,OP20-2,11,1561
2019-12-30 13:30:05,OP20-2,11,1548
2019-12-30 13:30:06,OP20-2,11,1514
2019-12-30 13:30:07,OP20-2,11,1557
2019-12-30 13:30:09,OP20-2,11,1566
2019-12-30 13:30:10,OP20-2,11,1545
2019-12-30 13:30:11,OP20-2,11,1504
2019-12-30 13:30:12,OP20-2,11,1576
2019-12-30 13:30:13,OP20-2,11,1582
2019-12-30 13:30:15,OP20-2,11,1519
2019-12-30 13:30:16,OP20-2,11,1547
2019-12-30 13:30:17,OP20-2,11,1571
2019-12-30 13:30:18,OP20-2,11,1492
2019-12-30 13:30:20,OP20-2,11,1510
2019-12-30 13:30:21,OP20-2,11,1547
2019-12-30 13:30:22,OP20-2,11,1555
2019-12-30 13:30:23,OP20-2,11,1535
2019-12-30 13:30:24,OP20-2,11,1618
